total_pnl,wallet
3477705.29,D7KRDK723rCDNHwNgcEEEgukJx4ujBS9wsrBJhmjo9As
3469772.26,6XkxwJ1oBPrE4rFHi23aEDdxqAXq83gb2i5GBtcANwm
3466317.87,6PHyogFKV3wVjVLG7oc8y26v2vhLAMBhTvXrP2cFfxKx
3457931.41,xNCuHejZur3Mcj6RuQTdkZWJgRiYpwdwHMGutkZHN9Q
3411039.54,FiBonCQsmJWr7j4bizosNUe3PsjYKvUASnUzQhtfmuBX
3410064.89,22yV8t4pxeitSiTARRHKq6rhM2HYWMYR7CmqxKiJmbVS
3400745.56,J7etwUvfu1FUyrM5psyMVn1tuBpAqanWP5dUsooVKrXG
3400476.2,6ryE2VUSgbkxpV7J7Aa6XYWrSiPNfZWXAAf5RWb1Rqmq
3362130.23,3Kcg2qgB9LWZmJFtLnXEY8vXKzVz8m5ydqKMujBG37gp
3334327.32,78918V7Cr3Yvx2YkaGyeDzQBHjJuHFa8vy5JC6Be5itz
3331545.48,2ZiQY2u9bNxLF3fDhUFmZCz1n1baNnx2jtu1asPYpMhR
3326882.71,9SeLgFS6x25wZxfknqSFXUtH6BHQApTY2ZoyA86VggUf
3294683.16,G16qiPfAgMw7ChzMNyog8TxBRqkP3MLyaMR7mLfNjvxC
3279956.72,HXNQAC4Mx2HXYL6NRw3sugYYDSW3csPz28YPnv21driu
3277292.29,3rNwdSoDLaSp2WARssTZ9t7g7UVR6mK1u9VGhDci44z4
3259538.73,5jJNvAuoTQ4MQxKFVaLsQiV3dZB4fz75sdYnrB4WVMDr
3256406.66,9uuq6Uch7nGQxQhHmTfrmXcSLP5nJFxFsRChL36pNG39
3255727.45,CP1GAPugCHXhgb7r7v6hdUK9EJmK7UstFL8HGeq35TRu
3234011.06,3XcHbc5Z7GfM3nXkP7NE8GT7ZawVsekxEfmPCofD1kcc
3232668.82,2stA1zrtWMerpwZ5hmDomVicC7ZoWEnA6CFEYd3xjJSc
3229603.61,HeTCtaEyC4cNTaKsA5PM5QoveLiUemiEU6T9HW2tdbQp
3227849.67,HaADMdMUdshuPKVTw1wS8AFUfswg4Ks1PxAjRePrheuW
3214917.09,34ZEH778zL8ctkLwxxERLX5ZnUu6MuFyX9CWrs8kucMw
3196791.01,2FFszfAe2NLcDrXhN9drnid7S4bMwDprbABB4q6gv6SS
