wallet,total_pnl,first_seen,last_seen
CqWVLXaj8r6vud5SfFr81SzmFoqXa5daLi1WbpQZxuhV,1065340.52,2024-12-04,2024-12-04
6H6gtwnKzTs6ttz9Ks1bQeqA3okPuSo3AsbdUGepWLRK,5041662.96,2024-12-04,2024-12-04
5W7UZNQk6oCFbNdPowRJZpByErqzifQFVNVtN4uKb3cV,4991648.64,2024-12-04,2024-12-04
Bqf76TrvZr637xvei14mHr1odxBTvKQccBYXhxJjp2RT,4964700.22,2024-12-04,2024-12-04
FVDo2hTokZeLcuGxYJP9WVAGsnmELhPi9yuHMSNmoU8s,4954519.59,2024-12-04,2024-12-04
J2ZRUaFrh1hi6SeGKNxBvy2qJ6uaT8FhiZAeJAreCs7Y,4861309.86,2024-12-04,2024-12-04
27nKnCT3DD5NLJw3xbq3KDL3thx6KTe6DmrRCbi2uszE,4857549.1,2024-12-04,2024-12-04
3XcHbc5Z7GfM3nXkP7NE8GT7ZawVsekxEfmPCofD1kcc,1255350.27,2024-12-04,2024-12-04
23ESL1T9mUcdMNUN48gmRARXtWY6kithUgSu3NN8vHV6,4845529.54,2024-12-04,2024-12-04
8LVFa3jddFQycBLND4pE4XAUVoFRENUpRRQmwMTgEe8E,4845153.61,2024-12-04,2024-12-04
FGwLJrzyP53Shopum2NdBejUTaHVyNBraD81gt4CWQpC,4734750.32,2024-12-04,2024-12-04
GzzKoRRfBpebJ5DL36xzciRdJGE69hMNt3SZ9UWukUKU,4721416.02,2024-12-04,2024-12-04
5vrX4aLvwhTzYCh6LpXX5bJbwrgkcjTVQiUBN8DF7n2q,4710874.32,2024-12-04,2024-12-04
99VXriv7RXJSypeJDBQtGRsak1n5o2NBzbtMXhHW2RNG,4674018.81,2024-12-04,2024-12-04
GmM5UFm8xu6TnZD7avwYcQ1zq25hD5yvHfYyAksHu9vB,4666545.28,2024-12-04,2024-12-04
Haee7H5bKDCnm6dXLkeR9DcWw9Puhnkwk71QBUSHcpUt,4635590.09,2024-12-04,2024-12-04
DRbDtEQWUPynTUuX2H1Nw8Aj5qKDB8gBFm95JYDcLdFv,4605092.41,2024-12-04,2024-12-04
8bsHpmidKupAbZ7jcgAwUiciEdSZy47dRwMifiQwueVT,4590599.18,2024-12-04,2024-12-04
